label:LGMD
65237
-0.249988	-3.501892
-0.249938	-3.495026
-0.249888	-3.503418
-0.249838	-3.503418
-0.249788	-3.496552
-0.249738	-3.506470
-0.249689	-3.519440
-0.249639	-3.517914
-0.249589	-3.511047
-0.249539	-3.504944
-0.249489	-3.496552
-0.249440	-3.504181
-0.249390	-3.506470
-0.249340	-3.511047
-0.249290	-3.521729
-0.249240	-3.533936
-0.249190	-3.538513
-0.249141	-3.544617
-0.249091	-3.548431
-0.249041	-3.552246
-0.248991	-3.559113
-0.248941	-3.568268
-0.248892	-3.575897
-0.248842	-3.577423
-0.248792	-3.574371
-0.248742	-3.578186
-0.248692	-3.584290
-0.248642	-3.586578
-0.248593	-3.588867
-0.248543	-3.590393
-0.248493	-3.591156
-0.248443	-3.586578
-0.248393	-3.587341
-0.248344	-3.588867
-0.248294	-3.591156
-0.248244	-3.587341
-0.248194	-3.586578
-0.248144	-3.588867
-0.248094	-3.590393
-0.248045	-3.592682
-0.247995	-3.594971
-0.247945	-3.595734
-0.247895	-3.595734
-0.247845	-3.597260
-0.247796	-3.601074
-0.247746	-3.601074
-0.247696	-3.601837
-0.247646	-3.603363
-0.247596	-3.607941
-0.247546	-3.610229
-0.247497	-3.614807
-0.247447	-3.616333
-0.247397	-3.618622
-0.247347	-3.630066
-0.247297	-3.639984
-0.247248	-3.644562
-0.247198	-3.649139
-0.247148	-3.652954
-0.247098	-3.659058
-0.247048	-3.666687
-0.246998	-3.665924
-0.246949	-3.666687
-0.246899	-3.671265
-0.246849	-3.675079
-0.246799	-3.678894
-0.246749	-3.679657
-0.246700	-3.681946
-0.246650	-3.688812
-0.246600	-3.694916
-0.246550	-3.694916
-0.246500	-3.703308
-0.246450	-3.707886
-0.246401	-3.709412
-0.246351	-3.709412
-0.246301	-3.713226
-0.246251	-3.715515
-0.246201	-3.722382
-0.246152	-3.722382
-0.246102	-3.723907
-0.246052	-3.729248
-0.246002	-3.733826
-0.245952	-3.737640
-0.245902	-3.750610
-0.245853	-3.759003
-0.245803	-3.761292
-0.245753	-3.761292
-0.245703	-3.763580
-0.245653	-3.766632
-0.245604	-3.765106
-0.245554	-3.762054
-0.245504	-3.765106
-0.245454	-3.765106
-0.245404	-3.765106
-0.245354	-3.765106
-0.245305	-3.763580
-0.245255	-3.761292
-0.245205	-3.763580
-0.245155	-3.764343
-0.245105	-3.767395
-0.245056	-3.767395
-0.245006	-3.767395
-0.244956	-3.767395
-0.244906	-3.767395
-0.244856	-3.767395
-0.244806	-3.764343
-0.244757	-3.767395
-0.244707	-3.769684
-0.244657	-3.767395
-0.244607	-3.767395
-0.244557	-3.767395
-0.244508	-3.767395
-0.244458	-3.764343
-0.244408	-3.761292
-0.244358	-3.752136
-0.244308	-3.742218
-0.244258	-3.743744
-0.244209	-3.739929
-0.244159	-3.733063
-0.244109	-3.730774
-0.244059	-3.736877
-0.244009	-3.727722
-0.243960	-3.721619
-0.243910	-3.714752
-0.243860	-3.710938
-0.243810	-3.707886
-0.243760	-3.694916
-0.243710	-3.683472
-0.243661	-3.684235
-0.243611	-3.681183
-0.243561	-3.681183
-0.243511	-3.675842
-0.243461	-3.672791
-0.243412	-3.661346
-0.243362	-3.649139
-0.243312	-3.647614
-0.243262	-3.648376
-0.243212	-3.646851
-0.243162	-3.648376
-0.243113	-3.648376
-0.243063	-3.646851
-0.243013	-3.644562
-0.242963	-3.637695
-0.242913	-3.634644
-0.242864	-3.630829
-0.242814	-3.622437
-0.242764	-3.617096
-0.242714	-3.614044
-0.242664	-3.611755
-0.242614	-3.607941
-0.242565	-3.604889
-0.242515	-3.601837
-0.242465	-3.599548
-0.242415	-3.588867
-0.242365	-3.588867
-0.242316	-3.584290
-0.242266	-3.591919
-0.242216	-3.585815
-0.242166	-3.585815
-0.242116	-3.585815
-0.242066	-3.585815
-0.242017	-3.585815
-0.241967	-3.585815
-0.241917	-3.588104
-0.241867	-3.588867
-0.241817	-3.597260
-0.241768	-3.601837
-0.241718	-3.599548
-0.241668	-3.601837
-0.241618	-3.599548
-0.241568	-3.599548
-0.241518	-3.601837
-0.241469	-3.599548
-0.241419	-3.598022
-0.241369	-3.593445
-0.241319	-3.593445
-0.241269	-3.592682
-0.241220	-3.589630
-0.241170	-3.589630
-0.241120	-3.588867
-0.241070	-3.588104
-0.241020	-3.588104
-0.240970	-3.584290
-0.240921	-3.582001
-0.240871	-3.577423
-0.240821	-3.582764
-0.240771	-3.592682
-0.240721	-3.598785
-0.240672	-3.608704
-0.240622	-3.623962
-0.240572	-3.629303
-0.240522	-3.640747
-0.240472	-3.640747
-0.240422	-3.653717
-0.240373	-3.669739
-0.240323	-3.666687
-0.240273	-3.662872
-0.240223	-3.666687
-0.240173	-3.678894
-0.240124	-3.681946
-0.240074	-3.686523
-0.240024	-3.703308
-0.239974	-3.712463
-0.239924	-3.713226
-0.239874	-3.718567
-0.239825	-3.727722
-0.239775	-3.736877
-0.239725	-3.739166
-0.239675	-3.742981
-0.239625	-3.746796
-0.239576	-3.749847
-0.239526	-3.754425
-0.239476	-3.749847
-0.239426	-3.745270
-0.239376	-3.739929
-0.239326	-3.733063
-0.239277	-3.723145
-0.239227	-3.704071
-0.239177	-3.696442
-0.239127	-3.701019
-0.239077	-3.701019
-0.239028	-3.701019
-0.238978	-3.705597
-0.238928	-3.702545
-0.238878	-3.692627
-0.238828	-3.676605
-0.238778	-3.676605
-0.238729	-3.675842
-0.238679	-3.675842
-0.238629	-3.674316
-0.238579	-3.674316
-0.238529	-3.674316
-0.238480	-3.674316
-0.238430	-3.673553
-0.238380	-3.672028
-0.238330	-3.672028
-0.238280	-3.672028
-0.238230	-3.673553
-0.238181	-3.674316
-0.238131	-3.675842
-0.238081	-3.680420
-0.238031	-3.691864
-0.237981	-3.697968
-0.237932	-3.697968
-0.237882	-3.699493
-0.237832	-3.701019
-0.237782	-3.705597
-0.237732	-3.713226
-0.237682	-3.719330
-0.237633	-3.730774
-0.237583	-3.740692
-0.237533	-3.745270
-0.237483	-3.756714
-0.237433	-3.768921
-0.237384	-3.774261
-0.237334	-3.781891
-0.237284	-3.781891
-0.237234	-3.785706
-0.237184	-3.787994
-0.237134	-3.789520
-0.237085	-3.789520
-0.237035	-3.789520
-0.236985	-3.791809
-0.236935	-3.794098
-0.236885	-3.794861
-0.236836	-3.795624
-0.236786	-3.795624
-0.236736	-3.797913
-0.236686	-3.800201
-0.236636	-3.803253
-0.236586	-3.801727
-0.236537	-3.796387
-0.236487	-3.804779
-0.236437	-3.807068
-0.236387	-3.808594
-0.236337	-3.810120
-0.236288	-3.813934
-0.236238	-3.823853
-0.236188	-3.833771
-0.236138	-3.839111
-0.236088	-3.845978
-0.236038	-3.852844
-0.235989	-3.862762
-0.235939	-3.875732
-0.235889	-3.888702
-0.235839	-3.899384
-0.235789	-3.899384
