-0.24999,-64.856
-0.24994,-64.849
-0.24989,-64.858
-0.24984,-64.858
-0.24979,-64.851
-0.24974,-64.861
-0.24969,-64.874
-0.24964,-64.872
-0.24959,-64.865
-0.24954,-64.859
-0.24949,-64.851
-0.24944,-64.859
-0.24939,-64.861
-0.24934,-64.865
-0.24929,-64.876
-0.24924,-64.888
-0.24919,-64.893
-0.24914,-64.899
-0.24909,-64.903
-0.24904,-64.907
-0.24899,-64.914
-0.24894,-64.923
-0.24889,-64.93
-0.24884,-64.932
-0.24879,-64.929
-0.24874,-64.933
-0.24869,-64.939
-0.24864,-64.941
-0.24859,-64.943
-0.24854,-64.945
-0.24849,-64.946
-0.24844,-64.941
-0.24839,-64.942
-0.24834,-64.943
-0.24829,-64.946
-0.24824,-64.942
-0.24819,-64.941
-0.24814,-64.943
-0.24809,-64.945
-0.24804,-64.947
-0.24799,-64.949
-0.24795,-64.95
-0.2479,-64.95
-0.24785,-64.952
-0.2478,-64.956
-0.24775,-64.956
-0.2477,-64.956
-0.24765,-64.958
-0.2476,-64.962
-0.24755,-64.965
-0.2475,-64.969
-0.24745,-64.971
-0.2474,-64.973
-0.24735,-64.984
-0.2473,-64.994
-0.24725,-64.999
-0.2472,-65.004
-0.24715,-65.007
-0.2471,-65.013
-0.24705,-65.021
-0.247,-65.02
-0.24695,-65.021
-0.2469,-65.026
-0.24685,-65.03
-0.2468,-65.033
-0.24675,-65.034
-0.2467,-65.036
-0.24665,-65.043
-0.2466,-65.049
-0.24655,-65.049
-0.2465,-65.058
-0.24645,-65.062
-0.2464,-65.064
-0.24635,-65.064
-0.2463,-65.068
-0.24625,-65.07
-0.2462,-65.077
-0.24615,-65.077
-0.2461,-65.078
-0.24605,-65.084
-0.246,-65.088
-0.24595,-65.092
-0.2459,-65.105
-0.24585,-65.113
-0.2458,-65.116
-0.24575,-65.116
-0.2457,-65.118
-0.24565,-65.121
-0.2456,-65.12
-0.24555,-65.116
-0.2455,-65.12
-0.24545,-65.12
-0.2454,-65.12
-0.24535,-65.12
-0.2453,-65.118
-0.24525,-65.116
-0.24521,-65.118
-0.24516,-65.119
-0.24511,-65.122
-0.24506,-65.122
-0.24501,-65.122
-0.24496,-65.122
-0.24491,-65.122
-0.24486,-65.122
-0.24481,-65.119
-0.24476,-65.122
-0.24471,-65.124
-0.24466,-65.122
-0.24461,-65.122
-0.24456,-65.122
-0.24451,-65.122
-0.24446,-65.119
-0.24441,-65.116
-0.24436,-65.107
-0.24431,-65.097
-0.24426,-65.098
-0.24421,-65.094
-0.24416,-65.087
-0.24411,-65.085
-0.24406,-65.091
-0.24401,-65.082
-0.24396,-65.076
-0.24391,-65.069
-0.24386,-65.065
-0.24381,-65.062
-0.24376,-65.049
-0.24371,-65.038
-0.24366,-65.039
-0.24361,-65.036
-0.24356,-65.036
-0.24351,-65.03
-0.24346,-65.027
-0.24341,-65.016
-0.24336,-65.004
-0.24331,-65.002
-0.24326,-65.003
-0.24321,-65.001
-0.24316,-65.003
-0.24311,-65.003
-0.24306,-65.001
-0.24301,-64.999
-0.24296,-64.992
-0.24291,-64.989
-0.24286,-64.985
-0.24281,-64.977
-0.24276,-64.972
-0.24271,-64.968
-0.24266,-64.966
-0.24261,-64.962
-0.24256,-64.959
-0.24251,-64.956
-0.24247,-64.954
-0.24242,-64.943
-0.24237,-64.943
-0.24232,-64.939
-0.24227,-64.946
-0.24222,-64.94
-0.24217,-64.94
-0.24212,-64.94
-0.24207,-64.94
-0.24202,-64.94
-0.24197,-64.94
-0.24192,-64.943
-0.24187,-64.943
-0.24182,-64.952
-0.24177,-64.956
-0.24172,-64.954
-0.24167,-64.956
-0.24162,-64.954
-0.24157,-64.954
-0.24152,-64.956
-0.24147,-64.954
-0.24142,-64.952
-0.24137,-64.948
-0.24132,-64.948
-0.24127,-64.947
-0.24122,-64.944
-0.24117,-64.944
-0.24112,-64.943
-0.24107,-64.943
-0.24102,-64.943
-0.24097,-64.939
-0.24092,-64.936
-0.24087,-64.932
-0.24082,-64.937
-0.24077,-64.947
-0.24072,-64.953
-0.24067,-64.963
-0.24062,-64.978
-0.24057,-64.984
-0.24052,-64.995
-0.24047,-64.995
-0.24042,-65.008
-0.24037,-65.024
-0.24032,-65.021
-0.24027,-65.017
-0.24022,-65.021
-0.24017,-65.033
-0.24012,-65.036
-0.24007,-65.041
-0.24002,-65.058
-0.23997,-65.067
-0.23992,-65.068
-0.23987,-65.073
-0.23982,-65.082
-0.23977,-65.091
-0.23973,-65.094
-0.23968,-65.097
-0.23963,-65.101
-0.23958,-65.104
-0.23953,-65.109
-0.23948,-65.104
-0.23943,-65.1
-0.23938,-65.094
-0.23933,-65.087
-0.23928,-65.078
-0.23923,-65.058
-0.23918,-65.051
-0.23913,-65.055
-0.23908,-65.055
-0.23903,-65.055
-0.23898,-65.06
-0.23893,-65.057
-0.23888,-65.047
-0.23883,-65.031
-0.23878,-65.031
-0.23873,-65.03
-0.23868,-65.03
-0.23863,-65.029
-0.23858,-65.029
-0.23853,-65.029
-0.23848,-65.029
-0.23843,-65.028
-0.23838,-65.026
-0.23833,-65.026
-0.23828,-65.026
-0.23823,-65.028
-0.23818,-65.029
-0.23813,-65.03
-0.23808,-65.035
-0.23803,-65.046
-0.23798,-65.052
-0.23793,-65.052
-0.23788,-65.054
-0.23783,-65.055
-0.23778,-65.06
-0.23773,-65.068
-0.23768,-65.074
-0.23763,-65.085
-0.23758,-65.095
-0.23753,-65.1
-0.23748,-65.111
-0.23743,-65.123
-0.23738,-65.129
-0.23733,-65.136
-0.23728,-65.136
-0.23723,-65.14
-0.23718,-65.142
-0.23713,-65.144
-0.23708,-65.144
-0.23703,-65.144
-0.23699,-65.146
-0.23694,-65.149
-0.23689,-65.149
-0.23684,-65.15
-0.23679,-65.15
-0.23674,-65.152
-0.23669,-65.155
-0.23664,-65.158
-0.23659,-65.156
-0.23654,-65.151
-0.23649,-65.159
-0.23644,-65.161
-0.23639,-65.163
-0.23634,-65.165
-0.23629,-65.168
-0.23624,-65.178
-0.23619,-65.188
-0.23614,-65.194
-0.23609,-65.2
-0.23604,-65.207
-0.23599,-65.217
-0.23594,-65.23
-0.23589,-65.243
-0.23584,-65.254
-0.23579,-65.254
-0.23574,-65.263
-0.23569,-65.271
-0.23564,-65.277
-0.23559,-65.285
-0.23554,-65.291
-0.23549,-65.294
-0.23544,-65.296
-0.23539,-65.301
-0.23534,-65.307
-0.23529,-65.313
-0.23524,-65.32
-0.23519,-65.331
-0.23514,-65.329
-0.23509,-65.327
-0.23504,-65.332
-0.23499,-65.335
-0.23494,-65.339
-0.23489,-65.342
-0.23484,-65.345
-0.23479,-65.342
-0.23474,-65.339
-0.23469,-65.339
-0.23464,-65.342
-0.23459,-65.348
-0.23454,-65.351
-0.23449,-65.356
-0.23444,-65.364
-0.23439,-65.371
-0.23434,-65.373
-0.23429,-65.373
-0.23425,-65.372
-0.2342,-65.372
-0.23415,-65.378
-0.2341,-65.384
-0.23405,-65.384
-0.234,-65.384
-0.23395,-65.377
-0.2339,-65.373
-0.23385,-65.367
-0.2338,-65.364
-0.23375,-65.362
-0.2337,-65.36
-0.23365,-65.36
-0.2336,-65.364
-0.23355,-65.362
-0.2335,-65.363
-0.23345,-65.351
-0.2334,-65.353
-0.23335,-65.355
-0.2333,-65.355
-0.23325,-65.355
-0.2332,-65.345
-0.23315,-65.332
-0.2331,-65.321
-0.23305,-65.312
-0.233,-65.309
-0.23295,-65.295
-0.2329,-65.276
-0.23285,-65.255
-0.2328,-65.245
-0.23275,-65.242
-0.2327,-65.238
-0.23265,-65.241
-0.2326,-65.244
-0.23255,-65.247
-0.2325,-65.249
-0.23245,-65.265
-0.2324,-65.271
-0.23235,-65.264
